id_cliente,fecha_registro,año_registro,mes_registro,trimestre_registro,nombre_completo,nombre_limpio,apellido,email,email_valido,dominio_email,edad,rango_edad,genero,pais,ciudad,codigo_postal,profesion,segmento_cliente,estado_cliente,fecha_ultima_compra,dias_sin_compra,total_compras,monto_total_gastado,ticket_promedio,frecuencia_compras_mes,antiguedad_dias,churn_risk,lifetime_value,canal_adquisicion,ultima_campania,num_reclamaciones,puntuacion_satisfaccion,activo,fecha_baja,motivo_baja,sucursal_preferida,dispositivo_preferido,acepta_newsletter,verificado_identidad,limite_credito,riesgo_fraude
11,2022-10-02,2022,10,4,martinez,Desconocido,Martinez,cliente11None,False,,-13,Menor,Otro,México,Bogotá,123,,Nuevo,Baja Morosidad,2023-03-08,1176,39,13199.679505685155,338.4533206585937,0.8777194298574644,1333,Alto,3614.315843642222,App,Primavera2024,2,6,1,2023-07-13,Competencia,Online,Tablet,True,PENDIENTE,115,
12,2020-11-22,2020,11,4,JAVIER,Javier,,correo_invalido_sin_arroba,False,,26,18-29,M,Argentina,Barcelona,123,Jubilado,VIP,Baja Voluntaria,2021-08-28,1733,42,17890.26449778315,425.9586785186465,0.6262425447316103,2012,Alto,3245.5002692300445,Evento,BlackFriday,2,,1,2021-09-12,Precio alto,,Web,1,RECHAZADO,12762,
13,2020-05-24,2020,5,2,martinez,Desconocido,Martinez,cliente13@hotmail.com,True,hotmail.com,32,30-44,F,Argentina,Madrid,CP_INVALIDO,Desempleado,,Activo,2020-08-16,2110,17,$2260.601893401344,,0.2324521422060164,2194,Alto,,App,Primavera2024,2,1,0,,,Online,Web Móvil,Sí,,896,Bajo
14,2023-08-21,2023,8,3,sofia fernandez,Sofia,Fernandez,sofia@gmail.com,True,gmail.com,veinticinco,,No especificado,Colombia,,123,Médico,Premium,Baja Morosidad,2024-07-09,687,6,1351.9838467501868,225.33064112503112,0.1782178217821782,1010,Alto,488.58822184536456,Redes Sociales,Primavera2024,6,4,0,2024-07-10,Insatisfacción,Online,App Android,True,,1654,Crítico
15,2023-07-13,2023,7,3,carlos,Carlos,,,False,,74,60+,F,México,Buenos Aires,123,Docente,Inactivo,Inactivo,2024-01-06,872,33,12656.231956474088,383.5221804992148,0.9437559580552908,1049,Alto,4403.741338525303,Email Marketing,Navidad2023,3,5,Inactivo,,,Sur,,1,RECHAZADO,410,
16,2021-07-07,2021,7,3,elena martinez,Elena,Martinez,elena@hotmail.com,True,hotmail.com,62,60+,,México,Santiago,,Empresario,Inactivo,Bloqueado,2022-01-17,1591,-44,0,0,0,1049,Alto,0.0,Redes Sociales,Verano2023,5,N/A,1,,,Móvil,Tablet,True,,495,Alto
17,2023-03-24,2023,3,1,maria  LOPEZ,Maria,Lopez,maria@hotmail.com,True,hotmail.com,72,60+,No especificado,México,,,,Corporativo,,2023-06-04,1088,23,5716.690268015174,248.55175078326846,0.5948275862068966,1160,Alto,179878.6161918568,,BlackFriday,8,1,True,,,Sur,Web Móvil,0,,72,Crítico
18,fecha_invalida,2023,6,2,martinez,Desconocido,Martinez,correo_invalido_sin_arroba,False,,25,18-29,,España,,123,Jubilado,,Activo,2023-10-23,947,45,1377.2285255578895,30.605078345730877,1.271186440677966,1062,Alto,473.3412540759225,Evento,BlackFriday,7,0,Activo,,,Online,Web,False,RECHAZADO,118,Alto
19,2022-09-25,2022,9,3,ana  sanchez,Ana,Sanchez,ana@outlook.es,True,outlook.es,122,60+,F,México,Santiago,123,Estudiante,Corporativo,Activo,2022-10-27,1308,36,7204.257518019793,200.11826438943868,0.8059701492537313,1340,Alto,1962.3537269233018,Referido,Primavera2024,8,3,False,,,Sur,,0,,381,
20,2023-09-05,2023,9,3,miguel fernandez,Miguel,Fernandez,miguel@yahoo.com,True,yahoo.com,51,45-59,F,España,CDMX,123,Jubilado,Básico,Baja Voluntaria,2024-01-26,852,9,4061.5691000028733,451.2854555558748,0.271356783919598,995,Alto,1489.9223331668832,Web,,6,6,0,2023-10-10,Precio alto,Móvil,Web,1,VERIFICADO,100,Bajo
21,2021-09-04,2021,9,3,JAVIER martinez,Javier,Martinez,javier@hotmail.com,True,hotmail.com,veinticinco,,Otro,Chile,CDMX,,Empresario,,Activo,2022-09-29,1336,42,2260.3746908689386,53.81844502068901,0.7300115874855156,1726,Alto,478.00507657425413,,,0,N/A,True,,,,App Android,Sí,,297,Bajo
22,2020-08-02,2020,8,3,LOPEZ,Desconocido,Lopez,cliente22@outlook.es,True,outlook.es,-86,Menor,F,Chile,Bogotá,28001,Médico,VIP,Activo,2020-08-31,2095,36,-1619.7428101177768,-44.99285583660491,0.5084745762711864,2124,Alto,-278.3456335654372,Redes Sociales,Navidad2023,5,6,False,,,,Web,0,,18742,
23,2020-04-13,2020,4,2,sanchez,Desconocido,Sanchez,cliente23@gmail.com,True,gmail.com,44,30-44,,Colombia,Bogotá,28001,Estudiante,Inactivo,Bloqueado,,572,27,12269.664143510701,454.43200531521114,0.3624161073825503,2235,Alto,2003.7706543093539,Email Marketing,Verano2023,3,2,0,,,,,True,PENDIENTE,413,Alto
24,2023-08-04,2023,8,3,PEDRO martinez,Pedro,Martinez,correo_invalido_sin_arroba,False,,42,30-44,,Argentina,Bogotá,,,Premium,Baja Voluntaria,2025-05-07,385,-23,0,0,0,2235,Alto,0.0,App,,7,2,0,2024-04-14,Mal servicio,Norte,Web Móvil,False,,-3569,Medio
25,03/02/2023,2023,2,1,ana  martinez,Ana,Martinez,ana@yahoo.com,True,yahoo.com,42,30-44,,Chile,Santiago,123,Médico,Básico,Baja Morosidad,2024-09-03,631,13,3747.951760896949,288.3039816074576,0.32258064516129037,1209,Alto,1131.5156267389466,Referido,Primavera2024,5,6,1,2023-09-01,Precio alto,Móvil,Web Móvil,1,VERIFICADO,618,Alto
26,2023-09-24,2023,9,3,maria,Maria,,maria@yahoo.com,True,yahoo.com,36,30-44,M,México,,,Jubilado,Corporativo,Baja Voluntaria,2024-05-01,756,24,$7742.019005588021,,0.7377049180327868,976,Alto,,,Navidad2023,0,0,False,2024-08-01,Mal servicio,Sur,Tablet,No,VERIFICADO,690,Alto
27,fecha_invalida,2022,1,1,LOPEZ,Desconocido,Lopez,cliente27@empresa.es,True,empresa.es,26,18-29,Otro,,Buenos Aires,,Médico,Inactivo,,2022-04-08,1510,38,4215.0737599539,110.92299368299736,0.7224334600760456,1578,Alto,974.9695325622138,Evento,Verano2023,8,N/A,False,,,Sur,Web,True,,711,
28,2023-04-24,2023,4,2,LUIS rodriguez,Luis,Rodriguez,luis@yahoo.com,True,yahoo.com,veinticinco,,1,España,Madrid,08001,Docente,VIP,Baja Voluntaria,2023-09-04,996,13,6191.558145620195,476.2737035092458,0.34543844109831706,1129,Alto,2001.6994890623307,,,8,5,Si,2024-02-27,Insatisfacción,Online,App iOS,True,,12562,Bajo
29,2021-12-29,2021,12,4,elena fernandez,Elena,Fernandez,elena@yahoo.com,True,yahoo.com,59,45-59,Otro,Colombia,CDMX,,Médico,,Bloqueado,2022-09-21,1344,21,249.10915148422313,11.862340546867769,0.3913043478260869,1610,Alto,56.475056081826985,Email Marketing,,1,1,True,,,,Web Móvil,1,VERIFICADO,213,Crítico
30,2022-12-10,2022,12,4,carlos rodriguez,Carlos,Rodriguez,correo_invalido_sin_arroba,False,,57,45-59,,México,Bogotá,08001,Docente,Inactivo,Activo,2023-09-13,987,15,680.9790536144366,45.39860357429577,0.3560126582278481,1264,Alto,196.64347671619413,,BlackFriday,8,3,True,,,Norte,,1,VERIFICADO,4,Medio
31,2021-12-05,2021,12,4,JAVIER rodriguez,Javier,Rodriguez,javier@yahoo.com,True,yahoo.com,28,18-29,Otro,México,CDMX,,,VIP,Baja Morosidad,2022-10-08,1327,28,11340.950379575155,405.0339421276841,0.5140758873929008,1634,Alto,2533.3212292196645,,Verano2023,10,N/A,1,2022-06-20,Insatisfacción,,App Android,0,RECHAZADO,11120,Bajo
32,2023-09-09,2023,9,3,elena rodriguez,Elena,Rodriguez,elena@empresa.es,True,empresa.es,51,45-59,0,Colombia,Barcelona,28001,Empresario,,Bloqueado,2023-09-12,988,-36,0,0,0,1634,Alto,0.0,Referido,,3,3,False,,,,,No,PENDIENTE,335,Alto
33,2022-06-09,2022,6,2,elena,Elena,,elena@empresa.es,True,empresa.es,-14,Menor,1,Chile,,,Estudiante,Premium,Baja Morosidad,2024-01-25,853,12,5670.775276281706,472.56460635680884,0.24861878453038672,1448,Alto,1429.4426628748777,Email Marketing,,8,3,False,2022-08-05,No usa,,Web,No,PENDIENTE,4644,
34,2023-05-04,2023,5,2,ana  fernandez,Ana,Fernandez,ana@empresa.es,True,empresa.es,29,18-29,1,Colombia,Madrid,,Empresario,VIP,Inactivo,2023-05-13,1110,39,19210.215168027236,492.5696196930061,1.0455764075067024,1119,Alto,626606.6609767597,,,9,N/A,False,,,,Tablet,0,VERIFICADO,18352,
35,2020-09-18,2020,9,3,carlos  garcia,Carlos,Garcia,carlosNone,False,,veinticinco,,M,Colombia,Bogotá,08001,Docente,Nuevo,Activo,2020-09-23,2072,21,2548.135512445604,121.33978630693352,0.3033220991815118,2077,Alto,447.7946374784042,Redes Sociales,Verano2023,7,3,0,,,Móvil,,True,RECHAZADO,781,
36,fecha_invalida,2020,12,4,sofia rodriguez,Sofia,Rodriguez,correo_invalido_sin_arroba,False,,38,30-44,M,Chile,Santiago,08001,,,Baja Voluntaria,2021-01-13,1960,37,3917.6031849754695,105.88116716149918,0.5544455544455544,2002,Alto,714.2483329250981,Referido,Navidad2023,8,5,0,2021-07-10,No usa,Sur,App iOS,False,RECHAZADO,564,Alto
37,2023-12-16,2023,12,4,JAVIER fernandez,Javier,Fernandez,javier@yahoo.com,True,yahoo.com,77,60+,Otro,Argentina,Buenos Aires,,Desempleado,VIP,Bloqueado,2024-05-18,739,20,5729.739074198886,286.48695370994426,0.6718924972004479,893,Alto,2341.94262271287,Evento,,1,2,Inactivo,,,Móvil,App Android,0,,16978,
38,2021-12-23,2021,12,4,LUIS sanchez,Luis,Sanchez,luis@hotmail.com,True,hotmail.com,140,60+,0,España,Bogotá,,Estudiante,Premium,Bloqueado,2022-06-20,1437,0,0,0,0,893,Alto,0.0,Evento,,8,1,True,,,Móvil,,0,,1183,
39,2021-11-13,2021,11,4,sanchez,Desconocido,Sanchez,cliente39@outlook.es,True,outlook.es,43,30-44,1,Argentina,Santiago,,Ingeniero,Premium,Inactivo,2022-03-18,1531,50,$18507.54258441771,,0.9057971014492753,1656,Alto,,Redes Sociales,Primavera2024,3,1,Inactivo,,,,Web Móvil,False,PENDIENTE,2417,Alto
40,2020-04-27,2020,4,2,JAVIER martinez,Javier,Martinez,javierNone,False,,33,30-44,,,Buenos Aires,,Empresario,Nuevo,Bloqueado,2020-08-07,2119,-21,0,0,0,1656,Alto,0.0,,,1,2,False,,,Centro,,0,,822,Crítico
41,2023-06-02,2023,6,2,miguel,Miguel,,miguel@gmail.com,True,gmail.com,22,18-29,M,México,Bogotá,,Médico,,Activo,2025-03-13,440,22,8235.995177336188,374.3634171516449,0.6055045871559633,1090,Alto,2757.9249905758797,Referido,BlackFriday,3,,No,,,Centro,Tablet,Sí,VERIFICADO,128,Crítico
42,2021-04-03,2021,4,2,carlos martinez,Carlos,Martinez,correo_invalido_sin_arroba,False,,veinticinco,,0,Argentina,Bogotá,08001,,Corporativo,Baja Morosidad,2021-12-25,1614,42,8291.58203357657,197.41861984706117,0.6702127659574468,1880,Alto,1609.8018309869403,,BlackFriday,-4,2,Inactivo,2021-05-08,Precio alto,Norte,Web Móvil,True,RECHAZADO,770,
43,2022-08-06,2022,8,3,carlos,Carlos,,carlos@gmail.com,True,gmail.com,23,18-29,M,México,Bogotá,123,,Inactivo,Inactivo,2022-09-18,1347,19,1384.706201412373,72.87927375854595,0.41007194244604317,1390,Alto,363.60990180972385,Web,Primavera2024,4,3,1,,,,Tablet,0,,827,
44,2022-11-04,2022,11,4,miguel,Miguel,,miguel@outlook.es,True,outlook.es,-55,Menor,,México,Santiago,08001,Empresario,Nuevo,Baja Morosidad,2022-11-09,1295,6,-1291.5803717441568,-215.26339529069278,0.13846153846153847,1300,Alto,-362.636027451244,Referido,Primavera2024,3,6,0,2023-03-23,Precio alto,Centro,Web,False,RECHAZADO,506,Medio
45,fecha_invalida,2022,11,4,Cliente Anónimo,Desconocido,,,False,,70,60+,,España,,CP_INVALIDO,Médico,Básico,,2023-02-07,1205,46,16350.932553736304,355.4550555160066,1.059094397544129,1303,Alto,4580.268904154836,Evento,Verano2023,2,1,Activo,,,Centro,Web Móvil,False,,588,
46,2021-09-08,2021,9,3,PEDRO rodriguez,Pedro,Rodriguez,pedro@hotmail.com,True,hotmail.com,70,60+,,México,,CP_INVALIDO,,Corporativo,Activo,,549,16,5245.491357626695,327.84320985166846,0.2787456445993031,1722,Alto,1111.8492134342298,Evento,Verano2023,9,0,1,,,Norte,,0,RECHAZADO,664,
47,2020-02-21,2020,2,1,sofia rodriguez,Sofia,Rodriguez,sofia@empresa.es,True,empresa.es,42,30-44,F,,Bogotá,08001,Ingeniero,,Bloqueado,2020-08-05,2121,44,2367.7714612613686,53.81298775594019,0.5771753388718845,2287,Alto,377.89094156554415,Referido,Primavera2024,9,3,1,,,,,True,,885,Crítico
48,2022-10-16,2022,10,4,ana  rodriguez,Ana,Rodriguez,correo_invalido_sin_arroba,False,,53,45-59,F,Argentina,CDMX,123,Docente,Inactivo,Activo,2023-03-23,1161,-37,0,0,0,2287,Alto,0.0,,,9,1,0,,,Norte,,False,,-800,Bajo
49,2020-10-13,2020,10,4,carlos fernandez,Carlos,Fernandez,carlos@gmail.com,True,gmail.com,veinticinco,,,,Madrid,08001,Médico,Corporativo,Bloqueado,2021-07-23,1769,41,3172.127053496173,77.3689525242969,0.5994152046783625,2052,Alto,564.2428725760738,Email Marketing,Navidad2023,9,0,Inactivo,,,,App Android,False,,715,Bajo
50,17/06/2021,2021,6,2,maria martinez,Maria,Martinez,maria@hotmail.com,True,hotmail.com,20,18-29,No especificado,México,Santiago,123,Docente,Corporativo,,2021-10-31,1669,31,3520.323604562738,113.55882595363671,0.515235457063712,1805,Alto,711.8659920583931,Referido,Navidad2023,8,4,False,,,,App iOS,False,PENDIENTE,940,Bajo
51,2022-05-11,2022,5,2,JAVIER martinez,Javier,Martinez,javier@hotmail.com,True,hotmail.com,28,18-29,No especificado,Colombia,,08001,Estudiante,Nuevo,,2022-08-24,1372,40,16752.781219102944,418.8195304775736,0.8124576844955992,1477,Alto,413998.99424323457,Evento,,8,6,Inactivo,,,,,1,,621,Medio
52,2020-06-04,2020,6,2,ana  martinez,Ana,Martinez,ana@gmail.com,True,gmail.com,42,30-44,M,España,Barcelona,08001,Desempleado,Básico,Activo,2020-12-23,1981,15,$470.134708043235,,0.20613834173156206,2183,Alto,,Referido,,7,5,No,,,Norte,,False,,682,
53,2023-05-24,2023,5,2,sofia  LOPEZ,Sofia,Lopez,sofia@hotmail.com,True,hotmail.com,57,45-59,,,Santiago,,Médico,,Bloqueado,2023-06-27,1065,0,0,0,0,2183,Alto,0.0,,,4,0,Inactivo,,,Norte,App Android,0,VERIFICADO,915,
54,fecha_invalida,2023,10,4,carlos rodriguez,Carlos,Rodriguez,correo_invalido_sin_arroba,False,,39,30-44,1,Chile,Bogotá,28001,,,Inactivo,2024-04-13,774,19,417.8154878229614,21.990288832787442,0.5912863070539419,964,Alto,158.19777287902585,Evento,BlackFriday,10,4,Inactivo,,,,App iOS,False,PENDIENTE,460,Alto
55,2022-05-09,2022,5,2,JAVIER,Javier,,javier@empresa.es,True,empresa.es,-63,Menor,,México,,CP_INVALIDO,Ingeniero,VIP,Activo,2022-05-12,1476,31,10505.922625413956,338.9007298520631,0.6288032454361054,1479,Alto,2592.739525541646,Web,Navidad2023,4,3,1,,,,App Android,True,VERIFICADO,13213,Crítico
56,2022-05-30,2022,5,2,sanchez,Desconocido,Sanchez,cliente56@gmail.com,True,gmail.com,veinticinco,,,Chile,Barcelona,123,Estudiante,Nuevo,Activo,2022-10-05,1330,-7,0,0,0,1479,Alto,0.0,App,Navidad2023,1,4,No,,,,App iOS,False,PENDIENTE,741,Bajo
57,2020-01-09,2020,1,1,PEDRO  garcia,Pedro,Garcia,pedro@gmail.com,True,gmail.com,117,60+,Otro,México,Santiago,28001,Ingeniero,VIP,Baja Voluntaria,2020-03-27,2252,46,13223.58632447979,287.4692679234737,0.5922746781115881,2330,Alto,2071.506012203916,Web,BlackFriday,3,2,Si,2020-11-01,No usa,,,1,PENDIENTE,19934,
58,2022-08-13,2022,8,3,carlos rodriguez,Carlos,Rodriguez,carlos@empresa.es,True,empresa.es,33,30-44,0,Chile,Santiago,,Médico,Corporativo,Baja Morosidad,2023-03-18,1166,23,1002.7023465956768,43.595754199812035,0.49891540130151846,1383,Alto,264.63221728663916,,Verano2023,6,2,False,2023-07-05,Mal servicio,Sur,App Android,No,PENDIENTE,782,Alto
59,2023-09-26,2023,9,3,LUIS fernandez,Luis,Fernandez,luisNone,False,,61,60+,Otro,España,Barcelona,28001,Empresario,Premium,Activo,2024-01-31,847,32,5885.847803867307,183.93274387085336,0.9856262833675565,974,Alto,2205.6821852274816,,BlackFriday,1,6,1,,,Móvil,App iOS,True,,3692,
60,2021-09-29,2021,9,3,JAVIER sanchez,Javier,Sanchez,correo_invalido_sin_arroba,False,,29,18-29,,Colombia,Barcelona,28001,Empresario,,Baja Morosidad,2022-02-28,1549,0,0,0,0,974,Alto,0.0,,BlackFriday,10,5,1,2022-06-23,No usa,Online,Tablet,0,PENDIENTE,29,Crítico
61,2020-01-31,2020,1,1,ana,Ana,,ana@outlook.es,True,outlook.es,50,45-59,No especificado,,,28001,Empresario,Corporativo,Activo,2020-02-09,2299,47,5072.465352036256,107.92479472417567,0.6109185441941075,2308,Alto,802.1879781166523,,BlackFriday,3,4,0,,,Norte,,Sí,,552,Alto
62,2022-07-26,2022,7,3,LOPEZ,Desconocido,Lopez,cliente62@yahoo.com,True,yahoo.com,45,45-59,F,,Bogotá,,,VIP,Activo,2023-02-10,1202,19,1285.7003707059491,67.66844056347101,0.4068522483940043,1401,Alto,334.96119579419803,Web,Verano2023,4,N/A,True,,,Online,App iOS,Sí,PENDIENTE,9529,Crítico
63,fecha_invalida,2023,5,2,JAVIER,Javier,,javierNone,False,,veinticinco,,F,,Barcelona,,Jubilado,Básico,,2023-06-26,1066,9,3212.9903088071633,356.9989232007959,0.24702653247941442,1093,Alto,1072.9565075156584,,Primavera2024,-5,0,Inactivo,,,Móvil,App iOS,1,,355,Bajo
64,2022-11-04,2022,11,4,martinez,Desconocido,Martinez,cliente64None,False,,73,60+,Otro,Colombia,,,Médico,Inactivo,Inactivo,2022-12-29,1245,-14,0,0,0,1093,Alto,0.0,Web,Navidad2023,10,,True,,,Norte,Tablet,True,,824,
65,2022-12-11,2022,12,4,maria,Maria,,maria@yahoo.com,True,yahoo.com,75,60+,M,Argentina,,08001,Médico,,,2023-03-02,1182,30,$13291.8687801429,,0.7125890736342042,1263,Alto,,Evento,BlackFriday,9,2,0,,,Centro,Tablet,0,RECHAZADO,242,Medio
66,2023-11-04,2023,11,4,LUIS rodriguez,Luis,Rodriguez,correo_invalido_sin_arroba,False,,-74,Menor,M,Argentina,CDMX,,,Inactivo,Bloqueado,2023-11-10,929,31,-13291.997194175674,-428.774103037925,0.9946524064171124,935,Alto,-5188.854519651467,App,Primavera2024,5,6,Activo,,,,Tablet,True,,694,Medio
67,2021-01-28,2021,1,1,LUIS  garcia,Luis,Garcia,luis@empresa.es,True,empresa.es,21,18-29,1,Argentina,Barcelona,08001,Médico,Nuevo,,2021-02-14,1928,4,228.68067270447688,57.17016817611922,0.061696658097686374,1945,Alto,42.91436788541597,,Primavera2024,6,5,1,,,Online,Web Móvil,True,,576,Medio
68,2021-03-03,2021,3,1,sofia martinez,Sofia,Martinez,sofia@empresa.es,True,empresa.es,35,30-44,,Colombia,Bogotá,28001,Docente,Básico,Inactivo,2021-03-16,1898,23,11021.200585647488,479.18263415858644,0.36106750392464676,1911,Alto,210504.35446160822,,Primavera2024,7,,0,,,Norte,Web Móvil,1,,194,Crítico
69,2020-09-01,2020,9,3,miguel sanchez,Miguel,Sanchez,miguel@outlook.es,True,outlook.es,61,60+,Otro,España,,08001,Médico,VIP,Baja Morosidad,,377,42,7960.241946982692,189.52957016625456,0.6017191977077364,2094,Alto,1387.5302343116919,Referido,,3,4,1,2021-05-28,No usa,Norte,Tablet,False,,17800,
70,2023-12-05,2023,12,4,elena fernandez,Elena,Fernandez,elena@outlook.es,True,outlook.es,veinticinco,,1,,Madrid,,Ingeniero,Nuevo,Bloqueado,2024-05-26,731,40,5604.2783548089465,140.10695887022365,1.3274336283185841,904,Alto,2262.7893799837007,App,,7,0,True,,,,App iOS,No,,558,Alto
71,2020-08-12,2020,8,3,LUIS fernandez,Luis,Fernandez,luis@yahoo.com,True,yahoo.com,32,30-44,No especificado,España,Barcelona,28001,Jubilado,,,2021-07-10,1782,41,1470.559894943505,35.867314510817195,0.5818353831598865,2114,Alto,253.904617622696,,Primavera2024,3,,True,,,Móvil,App Android,True,VERIFICADO,645,Crítico
72,fecha_invalida,2023,11,4,LUIS martinez,Luis,Martinez,correo_invalido_sin_arroba,False,,60,60+,M,,Santiago,123,,,Baja Voluntaria,2023-12-28,881,-36,0,0,0,2114,Alto,0.0,Web,Verano2023,2,4,True,2024-05-19,,Norte,,0,,-931,Crítico
73,2020-09-16,2020,9,3,LUIS  LOPEZ,Luis,Lopez,luis@hotmail.com,True,hotmail.com,60,60+,Otro,México,,CP_INVALIDO,Estudiante,VIP,Activo,2020-10-01,2064,38,10641.956466135101,280.05148595092373,0.5483405483405484,2079,Alto,1868.3569553339644,Referido,Navidad2023,4,5,1,,,,,0,RECHAZADO,13879,Bajo
74,2020-09-26,2020,9,3,LUIS rodriguez,Luis,Rodriguez,luis@yahoo.com,True,yahoo.com,21,18-29,F,,,08001,,,Baja Voluntaria,2020-10-29,2036,50,3760.317410539239,75.20634821078478,0.7249879168680522,2069,Alto,663.3716069825144,Referido,Navidad2023,4,3,Inactivo,2020-11-10,,Norte,,False,,390,
75,22/02/2020,2020,2,1,elena  LOPEZ,Elena,Lopez,,False,,64,60+,M,España,Madrid,123,Estudiante,Inactivo,Baja Morosidad,2020-03-23,2256,25,8066.254718418033,322.6501887367213,0.3280839895013123,2286,Alto,1287.9190604648215,App,Navidad2023,2,1,Inactivo,2020-09-16,Mal servicio,Online,,True,,419,Medio
76,2022-12-11,2022,12,4,miguel,Miguel,,miguelNone,False,,131,60+,,España,Bogotá,08001,,Nuevo,Inactivo,2023-02-04,1208,11,3535.0901950481452,321.37183591346775,0.2612826603325416,1263,Alto,1021.6214736283239,Evento,Primavera2024,7,,0,,,Sur,Web,0,,917,
77,2022-11-03,2022,11,4,laura,Laura,,laura@outlook.es,True,outlook.es,veinticinco,,No especificado,Chile,CDMX,,Empresario,Inactivo,Baja Voluntaria,2022-11-09,1295,29,2667.7820318058953,91.9924838553757,0.6687163720215219,1301,Alto,748.455374027019,Web,Navidad2023,7,N/A,0,2022-12-03,No usa,,App iOS,No,PENDIENTE,721,Medio
78,2022-04-21,2022,4,2,martinez,Desconocido,Martinez,correo_invalido_sin_arroba,False,,40,30-44,F,México,Bogotá,,,Nuevo,Baja Morosidad,2022-09-30,1335,36,$3058.0819753849805,,0.721442885771543,1497,Alto,,,,8,N/A,True,2023-02-07,Insatisfacción,,Web,False,PENDIENTE,85,Bajo
